Order Number,Date,Group Major,Pin,Item Description,Qty,Lot,Invoice
889198,5/22/24,MPI & Micell,103871,Instant Micellar Casein Non-GMO LG,1763.68,MS6424121-019,595695
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,496.035,MS6423142-025,595174
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,1322.76,MS6424113A-001,595174
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,1322.76,MS6424113A-002,595174
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,1322.76,MS6424113A-003,595174
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,1322.76,MS6424113A-004,595174
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,1322.76,MS6424113A-005,595174
890735,5/17/24,ProBev,104586,INSTANT PROBEV 90,1322.76,MS6424113A-006,595174
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-001,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-002,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-003,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-004,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-005,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-006,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-007,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,2204.6,FL24137D1-008,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-009,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-010,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-011,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-012,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-013,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-014,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-015,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-016,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-017,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-018,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-019,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-020,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-021,595687
892675,5/22/24,WPC 80,100283-CS063,IWPC80,1763.68,FL24137D1-022,595687
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1273,FL24085T2-003,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1255,FL24085T2-004,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1402,FL24137D2-001,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1408,FL24137D2-002,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1369,FL24137D2-003,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1401,FL24137D2-004,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1350,FL24137D2-005,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1399,FL24137D2-006,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1405,FL24137D2-007,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1374,FL24137D2-008,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1403,FL24137D2-009,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1401,FL24137D2-010,595689
892413,5/22/24,WPC 80,1005208,IWPC80 500KG TOTE,1410,FL24137D2-011,595689
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-006,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-007,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-008,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-009,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-010,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-011,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-012,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-013,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-014,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-015,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-016,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-017,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-018,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-019,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-020,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-021,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-022,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-023,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-024,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-025,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-026,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-027,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-028,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-029,595340
890132,5/16/24,WPI,100245-CS055,IWPI90,44.092,FL24107A1-078,595080
889570,5/17/24,WPI,100245-102170,IWPI90,1719.588,FL24125A1-083,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24125A1-084,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24125A1-085,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24125A1-086,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1719.588,FL24125A1-087,595170
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-001,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-002,595070
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-004,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-010,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-011,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-012,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-013,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-014,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-015,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-016,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-017,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-018,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-019,595350
