startdate,sampno,Analytical Analysis Code,Analysis Name,Testing Result,Lot Number,Group Major,Pin,Stockroom,Composite Number,Pallet Number,Bag Count on Pallet
37:17.0,BJ45957,SODIUM_ICP_MS,Sodium,1405.134,FL24119A1,,1005042-CS001,FL,C001,1,Jan-40
37:17.0,BJ45962,SODIUM_ICP_MS,Sodium,1404.559,FL24119A1,,1005042-CS001,FL,C002,6,201-240
37:17.0,BJ45967,SODIUM_ICP_MS,Sodium,1443.555,FL24119A1,,1005042-CS001,FL,C003,11,401-440
37:17.0,BJ45972,SODIUM_ICP_MS,Sodium,1318.369,FL24119A1,,1005042-CS001,FL,C004,16,601-640
37:17.0,BJ45977,SODIUM_ICP_MS,Sodium,1479.852,FL24119A1,,1005042-CS001,FL,C005,21,801-840
37:17.0,BJ45982,SODIUM_ICP_MS,Sodium,1563.102,FL24119A1,,1005042-CS001,FL,C006,26,1001-1040
37:17.0,BJ45987,SODIUM_ICP_MS,Sodium,1382.756,FL24119A1,,1005042-CS001,FL,C007,31,1201-1240
37:17.0,BJ45992,SODIUM_ICP_MS,Sodium,1404.483,FL24119A1,,1005042-CS001,FL,C008,36,1401-1440
37:17.0,BJ45997,SODIUM_ICP_MS,Sodium,1352.71,FL24119A1,,1005042-CS001,FL,C009,41,1601-1640
37:17.0,BJ46002,SODIUM_ICP_MS,Sodium,1362.68,FL24119A1,,1005042-CS001,FL,C010,46,1801-1840
37:17.0,BJ47139,SODIUM_ICP_MS,Sodium,1252.794,FL24119A1,,1005042-CS001,FL,C011,51,2001-2040
37:17.0,BJ47144,SODIUM_ICP_MS,Sodium,1297.662,FL24119A1,,1005042-CS001,FL,C012,56,2201-2240
37:17.0,BJ47149,SODIUM_ICP_MS,Sodium,1347.17,FL24119A1,,1005042-CS001,FL,C013,61,2401-2440
32:00.0,BJ51443,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C001,1,Jan-40
32:00.0,BJ51444,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C001,2,41-80
32:00.0,BJ51445,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C001,3,81-120
32:00.0,BJ51446,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C001,4,121-160
32:00.0,BJ51447,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C001,5,161-200
32:00.0,BJ51448,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C002,6,201-240
32:00.0,BJ51449,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C002,7,241-280
32:00.0,BJ51450,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C002,8,281-320
32:00.0,BJ51451,METHYL_MERCURY,Methyl Mercury,<0.015,FL24123A1,,100979-CS005,FL,C002,9,321-360
