Item Type,Group Major,Pin,Item Description,Customer Code,Customer Name,Analytical Analysis Code,Analysis Name,Testing Method,Min,Max,Target,Reporting Unit,COA Value 1,COA Value 2,Spec Type,Multi Samp Option,COA Decimal Format,Test Frequency
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,#ASH,Ash Dry Basis with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,#FAT_PWDR,Fat Powder with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,#MOISTURE,Moisture with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,ASH,Ash, AOAC 930.30,,3.5,,%,3.5,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,BATCH_RECORD_REVIEW,Batch Record Review,,,,,,,,,,,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,FAT_PWDR,Fat by Alkaline Hydrolysis, AOAC 989.05,,4,,%,4,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,MOISTURE,Moisture, AOAC 927.05,,6,,%,6,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,PH,pH,SMEDP 17thEd.,5.5,7,,,5.5,7,RAN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,PROT_ASIS_LECO,Protein As Is (Nx6.38),IDF 185:2002,84.6,,,%,84.6,,MIN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,PROT_DB_LECO,Protein Dry Basis,IDF 185:2002,90,,,%,90,,MIN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,SCORCHED_PARTICLE,Scorched Particle, ADPI,,15,,MG/25G,15,,MAX,MAX_VALUE,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,#ASH,Ash Dry Basis with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,#FAT_PWDR,Fat Powder with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,#MOISTURE,Moisture with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,ASH,Ash, AOAC 930.30,,4,,%,4,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,BATCH_RECORD_REVIEW,Batch Record Review,,,,,,,,,,,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,FAT_PWDR,Fat by Alkaline Hydrolysis, AOAC 989.05,,3,,%,3,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,LACTOSE_HPLC,Lactose,AOAC 977.20,,3,,%,3,,MAX,MEAN_AVG,XXX.X,6 MONTHS
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,MOISTURE,Moisture, AOAC 927.05,,6,,%,6,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,PH,pH,SMEDP 17thEd.,5.8,7,,,5.8,7,RAN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,PROT_ASIS_LECO,Protein As Is (Nx6.38),IDF 185:2002,85,,,%,85,,MIN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,PROT_DB_LECO,Protein Dry Basis,IDF 185:2002,90,,,%,90,,MIN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,SCORCHED_PARTICLE,Scorched Particle, ADPI,,15,,MG/25G,15,,MAX,MAX_VALUE,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,ARSENIC,Arsenic,AOAC 993.14,,10,,PPM,10,,MAX,MEAN_AVG,XXX,ANNUAL
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,CADMIUM,Cadmium (ppm), AOAC 993.14,,10,,PPM,10,,MAX,MEAN_AVG,XXX,ANNUAL
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,MERCURY,Mercury, AOAC 993.14,,10,,PPM,10,,MAX,MEAN_AVG,XXX,ANNUAL
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,LEAD,Lead,AOAC 993.14,,10,,PPM,10,,MAX,MEAN_AVG,XXX,ANNUAL
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,PEROXIDE,Peroxide,Quantofix Test ,,,,PPM,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,#ASH,Ash Dry Basis with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,#FAT_PWDR,Fat Powder with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,#MOISTURE,Moisture with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,ASH,Ash, AOAC 930.30,,6,,%,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,BATCH_RECORD_REVIEW,Batch Record Review,,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,CHOLESTEROL,Cholesterol,AOAC 994.10,,100,,MG/ 100G,100,,MAX,MEAN_AVG,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,FAT_PWDR,Fat by Alkaline Hydrolysis, AOAC 989.05,,3,,%,3,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,MOISTURE,Moisture, AOAC 927.05,,6,,%,6,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,PEROXIDE,Peroxide,Quantofix Test ,,,,PPM,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,PH,pH,SMEDP 17thEd.,5.5,7,,,5.5,7,RAN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,PROT_ASIS_LECO,Protein As Is (Nx6.38),IDF 185:2002,85,,,%,85,,MIN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,PROT_DB_LECO,Protein Dry Basis,IDF 185:2002,90,,,%,90,,MIN,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,SCORCHED_PARTICLE,Scorched Particle, ADPI,,15,,MG/25G,,,MAX,MEAN_AVG,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,SODIUM,Sodium (mg/100g),AOAC 985.01,,300,,MG/ 100G,,,,,,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,SALMONELLA_375,Salmonella, AOAC 2013.02,,,Negative,/ 375G X2,NEGATIVE,POSITIVE,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,STAPH,Staphylococcus aureus, AOAC 2003.08,,1,<10,CFU/G,<10,,VER,BOOL_VERBAL_OR_MAX,XXX,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,YEAST,Yeast, AOAC 997.02,,100,,CFU/G,100,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,#APC,Aerobic Plate Count with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,APC,Aerobic Plate Count,AOAC 990.12,,10000,,CFU/G,10000,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,COLIFORM,Coliforms, AOAC 991.14,,1,<10,CFU/G,<10,,VER,BOOL_VERBAL_OR_MAX,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,E_COLI,Escherichia coli, AOAC 991.14,,1,<10,CFU/G,<10,,VER,BOOL_VERBAL_OR_MAX,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,MOLD,Mold, AOAC 997.02,,500,,CFU/G,500,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,SALMONELLA_375,Salmonella, AOAC 2013.02,,,Negative,/ 375G X2,NEGATIVE,POSITIVE,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,STAPH,Staphylococcus aureus, AOAC 2003.08,,1,<10,CFU/G,<10,,VER,BOOL_VERBAL_OR_MAX,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,YEAST,Yeast, AOAC 997.02,,500,,CFU/G,500,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,#APC,Aerobic Plate Count with Calc,,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,APC,Aerobic Plate Count,AOAC 990.12,,30000,,CFU/G,30000,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,B_CEREUS,Bacillus cereus,FDA-BAM,,500,,CFU/G,500,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,COLIFORM,Coliforms, AOAC 991.14,,1,<10,CFU/G,<10,,VER,BOOL_VERBAL_OR_MAX,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,E_COLI,Escherichia coli, AOAC 991.14,,1,<10,CFU/G,<10,,VER,BOOL_VERBAL_OR_MAX,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,LISTERIA,Listeria , AOAC RI 030502,,,Negative,/ 25G,NEGATIVE,POSITIVE,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,MOLD,Mold, AOAC 997.02,,100,,CFU/G,100,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,SALMONELLA_375,Salmonella, AOAC 2013.02,,,Negative,/ 375G X2,NEGATIVE,POSITIVE,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,STAPH_USP,Staphylococcus  aureus  ,USP 35 Method 62,,,Negative,/ 25G,NEGATIVE,POSITIVE,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,YEAST,Yeast, AOAC 997.02,,100,,CFU/G,100,,MAX,MAX_VALUE,XXX,
FINISHED GOOD,WPI,100245,IWPI90,MSGSPEC,MSG SPEC,FLAVOR,Flavor,Organoleptic,,,Pass,,PASS,FAIL,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,BULK_DENSITY,Bulk Density,ADPI,0.28,0.34,,,0.28,0.34,RAN,MEAN_AVG,XXX.XX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,COLOR_MUNSELL,Color Munsell,Munsell Charts,0,1.5,,5Y9.25,0,1.5,RAN,MAX_VALUE,XXX.X,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,FLAVOR,Flavor,Organoleptic,,,Pass,,PASS,FAIL,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,FLAVOR_FD,Flavor Internal,Organoleptic,,,,,,,,,,
FINISHED GOOD,WPI,100245-102170,IWPI90,102170,Dymatize Enterprises LLC,MIXABILITY_WPI90,Mixability for WPI90,Organoleptic,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,APPEARANCE,Appearance,Organoleptic,,,Pass,,PASS,FAIL,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,BULK_DENSITY,Bulk Density,ADPI,0.25,0.34,,,0.25,0.34,RAN,MEAN_AVG,XXX.XX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,COLOR_MUNSELL,Color Munsell,Munsell Charts,0,2.5,,5Y9.25,0,2.5,RAN,MAX_VALUE,XXX.X,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,DISPERSIBILITY_OPTIMUM,Dispersibility/Solubility,Optimum Method,,,Pass,,PASS,FAIL,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,FLAVOR_FD,Flavor Internal,Organoleptic,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,MIXABILITY_WPI90,Mixability for WPI90,Organoleptic,,,,,,,,,,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,ODOR,Odor,Organoleptic,,,Pass,,PASS,FAIL,VER,BOOL_VERBAL,XXX,
FINISHED GOOD,WPI,100245-CS055,IWPI90,100880,GLANBIA PERFORMANCE NUTRITION,FLAVOR,Flavor,Organoleptic,,,Pass,,PASS,FAIL,VER,BOOL_VERBAL,XXX,
